id_viaje,id_socio,num_economico,distancia,tiempo,fecha
v-000001,s-0083,eco-0095,1.62,8,2021-02-15
v-000002,s-0068,eco-0457,1.66,11,2021-08-14
v-000003,s-0067,eco-0456,2.38,12,2021-07-15
v-000004,s-0084,eco-0322,1.45,11,2021-01-20
v-000005,s-0093,eco-0209,2.82,8,2021-05-24
v-000006,s-0193,eco-0018,1.96,7,2021-06-24
v-000007,s-0137,eco-0231,0.31,9,2021-02-15
v-000008,s-0088,eco-0024,16.57,43,2021-01-05
v-000009,s-0109,eco-0326,3.2,11,2021-04-02
v-000010,s-0134,eco-0183,0.67,9,2021-12-30
v-000011,s-0041,eco-0041,2.62,8,2021-03-27
v-000012,s-0088,eco-0322,0.48,11,2021-02-24
v-000013,s-0016,eco-0207,11.91,47,2021-01-23
v-000014,s-0163,eco-0080,11.66,52,2021-06-21
v-000015,s-0066,eco-0019,7.12,52,2021-08-07
v-000016,s-0040,eco-0092,12.24,47,2021-09-09
v-000017,s-0191,eco-0407,2.53,8,2021-06-13
v-000018,s-0040,eco-0374,0.81,11,2021-10-06
v-000019,s-0053,eco-0049,7.71,44,2021-09-30
v-000020,s-0097,eco-0292,8.28,40,2021-10-23
v-000021,s-0082,eco-0028,1.4,10,2021-04-23
v-000022,s-0188,eco-0370,2.06,11,2021-07-04
v-000023,s-0066,eco-0411,6.11,48,2021-12-24
v-000024,s-0013,eco-0057,1.76,9,2021-06-10
v-000025,s-0139,eco-0048,3.03,10,2021-12-19
v-000026,s-0068,eco-0167,10.03,50,2021-07-22
v-000027,s-0131,eco-0480,9.35,43,2021-05-30
v-000028,s-0080,eco-0015,2.06,9,2021-05-08
v-000029,s-0021,eco-0227,2.27,10,2021-01-30
v-000030,s-0080,eco-0215,2.2,6,2021-11-02
v-000031,s-0156,eco-0426,2.94,7,2021-09-01
v-000032,s-0008,eco-0214,3.44,7,2021-06-11
v-000033,s-0197,eco-0323,1.81,9,2021-11-27
v-000034,s-0059,eco-0008,3.8,10,2021-08-13
v-000035,s-0183,eco-0153,11.48,47,2021-09-22
v-000036,s-0041,eco-0387,1.53,7,2021-03-21
v-000037,s-0080,eco-0142,1.08,12,2021-07-27
v-000038,s-0108,eco-0370,3.0,10,2021-10-07
v-000039,s-0159,eco-0406,2.43,7,2021-10-08
v-000040,s-0148,eco-0320,2.29,10,2021-09-30
v-000041,s-0033,eco-0133,2.06,10,2021-01-11
v-000042,s-0152,eco-0374,8.17,44,2021-12-30
v-000043,s-0059,eco-0331,6.91,40,2021-12-11
v-000044,s-0062,eco-0498,1.2,10,2021-09-12
v-000045,s-0008,eco-0414,2.97,7,2021-05-04
v-000046,s-0092,eco-0004,1.93,10,2021-09-12
v-000047,s-0056,eco-0077,3.23,7,2021-07-06
v-000048,s-0185,eco-0189,0.93,8,2021-01-31
v-000049,s-0129,eco-0186,1.86,11,2021-01-02
v-000050,s-0097,eco-0259,1.62,10,2021-04-30
v-000051,s-0157,eco-0392,1.53,12,2021-05-28
v-000052,s-0017,eco-0437,5.51,42,2021-10-20
v-000053,s-0027,eco-0063,2.98,11,2021-08-06
v-000054,s-0115,eco-0111,1.2,11,2021-07-21
v-000055,s-0075,eco-0389,2.5,9,2021-04-01
v-000056,s-0184,eco-0482,11.5,41,2021-09-13
v-000057,s-0083,eco-0143,4.19,45,2021-01-07
v-000058,s-0129,eco-0431,1.21,10,2021-01-11
v-000059,s-0002,eco-0065,1.21,7,2021-03-10
v-000060,s-0125,eco-0478,3.54,10,2021-04-07
v-000061,s-0002,eco-0432,7.63,40,2021-03-23
v-000062,s-0111,eco-0379,7.33,43,2021-07-05
v-000063,s-0150,eco-0368,8.13,47,2021-03-23
v-000064,s-0004,eco-0449,7.24,51,2021-12-17
v-000065,s-0136,eco-0172,5.94,38,2021-08-24
v-000066,s-0054,eco-0130,8.03,46,2021-05-15
v-000067,s-0067,eco-0172,1.96,8,2021-03-01
v-000068,s-0059,eco-0327,1.76,8,2021-04-30
v-000069,s-0073,eco-0358,2.14,12,2021-01-26
v-000070,s-0070,eco-0439,1.44,14,2021-06-06
v-000071,s-0039,eco-0053,1.37,9,2021-09-15
v-000072,s-0059,eco-0479,3.25,9,2021-10-04
v-000073,s-0027,eco-0382,3.76,8,2021-04-24
v-000074,s-0147,eco-0290,2.52,7,2021-02-02
v-000075,s-0142,eco-0118,0.16,9,2021-08-22
v-000076,s-0168,eco-0028,1.69,8,2021-12-30
v-000077,s-0168,eco-0109,1.67,11,2021-06-19
v-000078,s-0077,eco-0262,2.53,10,2021-08-25
v-000079,s-0126,eco-0437,1.13,10,2021-08-12
v-000080,s-0017,eco-0048,9.07,43,2021-08-04
v-000081,s-0052,eco-0143,12.04,40,2021-08-27
v-000082,s-0167,eco-0458,2.4,11,2021-09-21
v-000083,s-0197,eco-0498,0.29,11,2021-12-29
