call_numero,codigo_postal,colonia_predio,Alcaldía
Hortensia 24,10380,Lomas Quebradas,Magdalena Contreras
Hortensia 25,10380,San Bernabe Acotepec,Magdalena Contreras
Hortensia 26,10380,San Bernabe Ocotepec,Magdalena Contreras
Hortencia 27,10620,Lomas Quebradas,Magdalena Contreras
Hortensia 5,10380,Lomas Quebradas,Magdalena Contreras
Hortencia 33 Antes 68,10380,Lomas Quebradas,Magdalena Contreras
Hortensia Mz. 2 Lt. 10,10380,Lomas Quebradas,Magdalena Contreras
Hortensia 31,10620,San Bernabe Ocotepec,Magdalena Contreras
Palma 3,10380,Lomas Quebradas,Magdalena Contreras
Palma 38,10380,Lomas Quebradas,Magdalena Contreras
Palmas 40,10380,Lomas Quebradas,Magdalena Contreras
Pensamiento 41,10380,Lomas Quebradas,Magdalena Contreras
Pensamiento 18,10380,Lomas Quebradas,Magdalena Contreras
"Cl. PENSAMIENTO, 12 FRACC I",10000,LOMAS QUEBRADAS,Magdalena Contreras
Pensamiento 35,10000,Colonia Lomas Quebradas,Magdalena Contreras
Pensamiento 4,10000,Colonia Lomas Quebradas,Magdalena Contreras
Pensamiento 20,10380,Lomas Quebradas,Magdalena Contreras
Margarita 4,10380,San Bernabe Ocotepec,Magdalena Contreras
Hortensia 26,10380,Lomas Quebradas,Magdalena Contreras
Calle Palmas 39-a,10380,Barros Sierra,Magdalena Contreras
"Cl. HORTENSIA, 35",10380,LOMAS QUEBRADAS,Magdalena Contreras
PALMAS     1-B,10000,LOMAS QUEBRADAS,Magdalena Contreras
Pensamiento 13,10380,Lomas Quebradas,Magdalena Contreras
Pensamiento 15,10380,Lomas Quebradas,Magdalena Contreras
Margaritas 4,10000,Lomas Quebradas,Magdalena Contreras
Palmas 3 Bis,10000,Lomas Quebradas,Magdalena Contreras
Pensamiento 11,10380,Lomas Quebradas,Magdalena Contreras
Margaritas 15,10380,Barros Sierra,Magdalena Contreras
Hortensia 31 Int.1,10380,Barrios Sierra,Magdalena Contreras
"Cl. MARGARITAS, 6",10000,LOMAS QUEBRADAS,Magdalena Contreras
