call_numero,codigo_postal,colonia_predio,Alcaldía
TABASCO ORIENTE 92,12000,BO STA CRUZ,Milpa Alta
TABASCO 107,12000,Bo Sta Cruz,Milpa Alta
Michoacan 16,12000,Milpa Alta,Milpa Alta
Michoacan Oriente 2,12000,Bo Sta Cruz,Milpa Alta
MICHOACAN ORIENTE 7,12000,Bo Sta Cruz,Milpa Alta
Michoacan Ote.no.90,12000,Bo.sta Cruz,Milpa Alta
Veracruz Norte Num. 3,12000,Bo Sta Cruz,Milpa Alta
Av. Veracruz Num 3,12000,Barrio de Sta Cruz Milpalta,Milpa Alta
Veracruz 7,12000,Milpa Alta,Milpa Alta
Veracruz 5,12000,Bo.sta Cruz,Milpa Alta
Tabasco Ote. No.9 Prov. Xochimanca,12000,Bo. Sta. Cruz Milpa Alta,Milpa Alta
TABASCO ORIENTE 10,12000,Bo Sta Cruz,Milpa Alta
Tabasco Num. 109,12000,Santa Cruz,Milpa Alta
Veracruz 7,12000,Bo. Santa Cruz,Milpa Alta
Cda Tabasco Ote S/n Entre Veracruz y Yucatan,12000,Bo.sta Cruz.,Milpa Alta
Av Michoacan Oriente 29,12000,Barrio San Agustin,Milpa Alta
Morelos Sur 3,12000,Bo San Agustin,Milpa Alta
Av.  Morelos Num. 5,12000,Po. San Agustin el Alto,Milpa Alta
Morelos Sur 7,12000,Bo San Agustin,Milpa Alta
Av Morelos Sur 7,12000,Barrio San Agustin,Milpa Alta
Av. Toluca Sur Num. 10,12000,Barrio San Agustin,Milpa Alta
TOLUCA SUR 8,12000,Bo San Agustin,Milpa Alta
Toluca Norte 9,12000,Villa Milpa Alta,Milpa Alta
Av Toluca 6,12000,Barrio San Agustin,Milpa Alta
Av Toluca Sur Pr 10 Mz 2,12000,Barrio San Agustin,Milpa Alta
Av Toluca Sur 7,12000,Barrio San Agustin,Milpa Alta
Av Toluca Num.2,12000,Barrio San Agustin,Milpa Alta
Av Toluca Sur 2,12000,Barrio San Agustin,Milpa Alta
Av Michoacan Oriente 23,12000,Barrio San Agustin,Milpa Alta
Av Michoacan Oriente 25,12000,Barrio San Agustin,Milpa Alta
Av Michoacan Oriente 25 a,12000,Barrio San Agustin,Milpa Alta
Av. Michoacan Ote. 25,12000,Bo. San Agustin El Alto,Milpa Alta
Michoacan Oriente 27,12000,La Concepcion Milpa Alta,Milpa Alta
Michoacan Oriente 20,12000,La Concepcion Milpa Alta,Milpa Alta
Av. Jalisco Oriente 6 Prov,12000,Barrio la Concepcion,Milpa Alta
Av Morelos Sur Pd 1 Mz 3,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos Sur 9,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos Sur 6,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos Sur 13,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos Sur 66,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos Sur Pd 6 Mz 3,12000,Barrio San Agustin,Milpa Alta
Guanajuato Oriente 24,12000,La Concepcion Milpa Alta,Milpa Alta
Av Guanajuato Oriente 20,12000,Barrio de la Concepcion,Milpa Alta
Av Guanajuato Oriente 144,12000,Barrio de la Concepcion,Milpa Alta
AV GUANAJUATO OTE 34,12000,BO SAN AGUSTIN,Milpa Alta
Av Guanajuato Oriente 33,12000,Barrio de la Concepcion,Milpa Alta
Toluca Sur Num. 22,12000,Villa Milpa Alta,Milpa Alta
Av Toluca Pd.13 Mz.3,12000,Barrio San Agustin El Alto Milpa Alta,Milpa Alta
Av Toluca 14,12000,Barrio San Agustin El Alto,Milpa Alta
Av Toluca 16,12000,Barrio San Agustin El Alto,Milpa Alta
Av Toluca Sur 12,12000,Barrio San Agustin El Alto,Milpa Alta
JALISCO ORIENTE 5,12000,BO SAN AGUSTIN,Milpa Alta
Jalisco 6,12000,Barrio San Agustin,Milpa Alta
Av Morelos Sur 66 Bis,12000,Barrio de la Concepcion,Milpa Alta
Morelos Sur 66 a,12000,Bo San Agustin,Milpa Alta
Av Toluca Sur.20,12000,Bo. la Concepcion,Milpa Alta
Av. Toluca 14,12000,Bo. la Concepcion,Milpa Alta
Av Guanajuato Ote 144,12000,Bo San Agustin,Milpa Alta
Av Morelos Sur 20,12000,Barrio de la Concepcion,Milpa Alta
Av Morelos 20,12000,Barrio de la Concepcion,Milpa Alta
Morelos 35,12000,Bo. San Agustin El Alto,Milpa Alta
AV MORELOS SUR.25,12000,BARRIO SAN AGUSTIN,Milpa Alta
Morelos Sur 27,12000,Bo San Agustin,Milpa Alta
Morelos Sur 31,12000,La Concepcion Milpa Alta,Milpa Alta
Morelos Sur 33,12000,La Concepcion Milpa Alta,Milpa Alta
Colima Ote.31,12000,Bo. San Agustin Milpa Alta,Milpa Alta
Colima Sur 28 Bis,12000,La Concepion Milpa Alta,Milpa Alta
Colima Ote 32,12000,Bo San Agustin,Milpa Alta
Av Toluca 30,12000,Barrio de la Concepcion,Milpa Alta
Toluca Sur Num. 32,12000,Bo San Agustin,Milpa Alta
Av Toluca Sur Pd.10 Mz. 4,12000,Barrio de la Concepcion,Milpa Alta
TOLUCA SUR 28,12000,BO SAN AGUSTIN,Milpa Alta
Av.toluca No.26,12000,Barrio de la Concepcion,Milpa Alta
Av Guanajuato 33 Bis,12000,Barrio de la Concepcion,Milpa Alta
Av Guanajuato 39,12000,Barrio de la Concepcion,Milpa Alta
Av Guanajuato Ote 24,12000,Bo San Agustin,Milpa Alta
AV GUANAJUATO OTE 135,12000,BO SAN AGUSTIN,Milpa Alta
Av Guanajuato Oriente 33-bis,12000,Barrio San Agustin.,Milpa Alta
AV GUANAJUATO OTE 35,12000,BO SAN AGUSTIN,Milpa Alta
Guanajuato Oriente 24,12000,La Concepcion Milpa Alta,Milpa Alta
GUANAJUATO ORIENTE S N,12000,La Concepcion Milpa Alta,Milpa Alta
Colima S/n Esq Morelos,12000,Bo la Concepcion,Milpa Alta
Toluca S/n,12000,Bo. la Concepcion,Milpa Alta
Morelos Sur 37-a,12000,Bo la Concepcion,Milpa Alta
Av. Toluca No. 74,12000,San Agustin,Milpa Alta
