call_numero,codigo_postal,colonia_predio,Alcaldía
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Dalia 18,16080,Bo Sn Esteban,Xochimilco
Cjon 7 Vueltas 8,16080,Bo.san Diego,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas 52 Cjon,16080,San Diego,Xochimilco
Pino 144,16080,San Diego Xochimilco,Xochimilco
Pino 142,16080,San Diego Xochimilco,Xochimilco
Pino 138,16080,Barrio de San Diego,Xochimilco
Pino 136,16080,San Diego Xochimilco,Xochimilco
Siete Vueltas,16080,San Diego Xochimilco,Xochimilco
Siete Vozitas 8,16080,Xochimilco,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas,16080,San Diego Xochimilco,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas S. N Cjon,16080,San Diego,Xochimilco
Siete Vueltas 9 Cjon,16080,San Diego,Xochimilco
Cjon 7 Vueltas 18,16080,Bo San Diego,Xochimilco
CJON 7 VUELTAS 8,16080,Bo San Diego,Xochimilco
Cjon 7 Vueltas 17,16080,Bo San Diego,Xochimilco
Cjon 7 Vueltas No. 9 Prov. la Vuelta,16080,Bo. San Diego,Xochimilco
"Cjn. 7 VUELTAS, MZ-8 LT-2",16080,BARRIO SAN DIEGO,Xochimilco
CJON 7 VUELTAS 13,16080,Bo San Diego,Xochimilco
CJON 7 VUELTAS 138,16080,Bo San Diego,Xochimilco
Pino 132,16080,San Diego B,Xochimilco
CJON 7 VUELTAS 7,16080,Bo San Diego,Xochimilco
Cjon Pino 122,16080,Bo San Diego,Xochimilco
Cjon 7 Vueltas,16080,San Diego,Xochimilco
Violeta 9-1,16080,Bo San Diego,Xochimilco
"Cl. PINO, 144",16080,BARRIO SAN DIEGO,Xochimilco
Dalia 58,16080,San Diego Xochimilco,Xochimilco
Dalia 24,16080,Bo Sn Esteban Xochimilco,Xochimilco
Dalia 54,16080,San Diego,Xochimilco
Dalia San Esteban 22,16080,Xochimilco,Xochimilco
Cjon Lopez 22,16080,Bo San Diego,Xochimilco
Lopez 55 Cjon,16080,San Diego,Xochimilco
Dalia 54,16080,San Diego,Xochimilco
Josefa Ortiz de Dominguez 58,16080,San Diego,Xochimilco
J.o.de Dominguez S/n,16080,San Diego Xochimilco,Xochimilco
Josefa Ortiz de Dominguez 60,16080,Xochimilco,Xochimilco
Dalia 54,16080,San Diego,Xochimilco
Dalia 54,16080,San Diego,Xochimilco
Dalia 2,16080,San Diego Xochimilco,Xochimilco
DALIA 38,16070,BO LA GUADALUPITA,Xochimilco
Terreno Amomolochico,16080,Bo. San Esteban,Xochimilco
Dalia 55,16080,San Diego,Xochimilco
Dalia 18,16080,Sn Esteban,Xochimilco
Dalia 12,16080,San Diego,Xochimilco
Dalia Num. 12,16080,Bo. San Esteban,Xochimilco
Dalia Num. 12,16080,Bo. San Esteban,Xochimilco
Dalia Sur 10,16080,San Esteban,Xochimilco
Dalia Sur 10,16080,San Esteban,Xochimilco
Dalia Sur 10,16080,San Esteban,Xochimilco
Dalia Sur 10,16080,San Esteban,Xochimilco
Norte Dalia Num. 6,16080,Barr. San Esteban,Xochimilco
Dalia 38,16080,San Diego,Xochimilco
Dalia Norte 2,16080,Bo San Esteban,Xochimilco
Pino 150,16080,San Diego,Xochimilco
Del Pino S/n,16000,Xochimilco,Xochimilco
PINO 150 A,16080,BO SAN DIEGO,Xochimilco
"Cjn. CJON 2 DALIA, 20",16080,BARRIO SAN DIEGO,Xochimilco
Cjon Lopez S/n,16080,San Diego Xochimilco,Xochimilco
PINO 138,16080,Bo San Diego,Xochimilco
DALIA 6,16080,BO SAN DIEGO,Xochimilco
Dalia 54 B,00000,San Esteban,Xochimilco
JOSEFA ORTIZ DE DOMINGUEZ 58C,16080,Bo San Diego,Xochimilco
JOSEFA ORTIZ DE DOMINGUEZ NUM. 169,16080,Barrio San Diego,Xochimilco
JOSEFA ORTIZ DE DOMINGUEZ 58A,16080,Bo San Diego,Xochimilco
Josefa Ortiz de Dominguez 58 C,16080,Bo. Sasn Esteban,Xochimilco
J.O.DE DOMINGUEZ.138,16080,Bo San Diego Xochimilco,Xochimilco
DALIA 58,16080,Bo San Diego,Xochimilco
JOSEFA ORTIZ DE DOMINGUEZ 54BIS,16080,Bo San Diego,Xochimilco
DALIA 22BIS,16080,Bo San Diego,Xochimilco
DALIA 22,16080,Bo San Diego,Xochimilco
DALIA NUM. 46,16080,BO. SAN ESTEBAN,Xochimilco
Cjon Dalia no.46  Prov.,16080,Barrio San Esteban,Xochimilco
PINO 150 B,16080,BARRIO SAN DIEGO,Xochimilco
PINO 150-5,16080,BARRIO SAN DIEGO,Xochimilco
Josefa Ortiz de Dominguez 195,16080,Xochimilco,Xochimilco
Ortiz de Dominguez 195 Pred Int,16080,Xochimilco,Xochimilco
J o de Dominguez S/n,16080,San Diego Xochimilco,Xochimilco
J o de Dominguez 108,16080,San Diego Xochimilco,Xochimilco
Plazuela De San Esteban 10,16080,Bo San Esteban,Xochimilco
Josefa Ortiz de Dominguez 189,16080,Bo San Esteban,Xochimilco
Dalia S. N Pred Int,16080,Xochimilco,Xochimilco
Dalia 8 Predio Interior,16080,Bo San Diego,Xochimilco
Plazuela San Esteban 9,16080,Bo. San Esteban,Xochimilco
Dalia 39 Pred Int,16080,Xochimilco,Xochimilco
"Cjn. 3ER DALIA, 43",16080,BARRIO SAN ESTEBAN,Xochimilco
Pino 156,16080,Sn Esteban Xochimilco,Xochimilco
Pino 96,16080,Barrio Sn. Esteban,Xochimilco
PINO 156,16080,SAN ESTEBAN,Xochimilco
CANAL SECO  LT 8  MZ 13,16080,BO SAN ESTEBAN,Xochimilco
Pino 160,16080,San Esteban,Xochimilco
Canal Seco No. 25,16080,Barrio San Esteban,Xochimilco
Canal Seco No. 25,16080,Barrio San Esteban,Xochimilco
"Cl. PINO, 164",16080,BARRIO SAN ESTEBAN,Xochimilco
"Cl. PINO, 164",16080,BARRIO SAN ESTEBAN,Xochimilco
PINO NUM. 156A,16080,BO. SAN ESTEBAN,Xochimilco
Pino 156,16080,Barrio de San Esteban,Xochimilco
Pino S. N,16080,San Esteban,Xochimilco
Pino 96,16080,San Esteban,Xochimilco
"Cl. DALIA, 35",16080,BARRIO SAN ESTEBAN,Xochimilco
Dalia 37,16080,San Esteban,Xochimilco
Dalia 39,16080,San Esteban,Xochimilco
Dalia 45,16080,San Esteban,Xochimilco
"Cl. DALIA, 15",16080,BARRIO SAN ESTEBAN,Xochimilco
Dalia 13,16080,Barrio San Esteban,Xochimilco
Dalia 13,16080,San Esteban,Xochimilco
Dalia 55,16080,San Esteban,Xochimilco
J Ortiz de Dominguez S/n,16080,San Diego Xochimilco,Xochimilco
CJON 3 DALIA  LT 1  MZ 10,16080,BO SAN ESTEBAN,Xochimilco
Cjon J Ortiz de Dominguez 5,16080,San Diego Xochimilco,Xochimilco
Dalia 39,16080,San Esteban,Xochimilco
Dalia 43,16080,San Esteban,Xochimilco
Dalia 13,16080,San Esteban,Xochimilco
CJON.3 DALIA LT.2 MZ.10,16080,Barrio San Esteban,Xochimilco
J Ortiz de Dominguez 187,16080,San Esteban Xochimilco,Xochimilco
CANAL SECO 7,16080,Bo San Esteban,Xochimilco
CANAL SECO 17,16080,Bo San Esteban,Xochimilco
Orquidea 5,16080,Bo. Sn. Esteban,Xochimilco
Pino 164,16080,San Esteban,Xochimilco
CDA SN ESTEBAN 164,16080,Bo San Esteban,Xochimilco
Terreno El Puente,16000,Sn Esteban,Xochimilco
PLAZUELA SN ESTEBAN 6,16080,Bo San Esteban,Xochimilco
CDA SN ESTEBAN 20B,16080,Bo San Esteban,Xochimilco
Pino 156,16080,San Esteban,Xochimilco
"Cl. DALIA, 45",16080,BARRIO SAN ESTEBAN,Xochimilco
CJON. 3 DALIA LT-13 MZ-10,16080,BO. SAN ESTEBAN,Xochimilco
pino num161,16080,Bo San Esteban,Xochimilco
Pino 155,16080,San Esteban,Xochimilco
Pino 151,16080,Xochimilco,Xochimilco
Pino 153,16080,Bo. San Esteban,Xochimilco
Pino 149,16080,San Esteban,Xochimilco
Dalia 26,16080,San Diego,Xochimilco
1 Cjon Dalia 159,16080,Bo San Esteban,Xochimilco
"Cjn. POTRERO, 4",16080,BARRIO SAN ESTEBAN,Xochimilco
Nuevo Leon 140,16080,San Esteban,Xochimilco
Nuevo Leon 136,16080,San Esteban,Xochimilco
Nuevo Leon 136 a,16080,San Esteban,Xochimilco
Nuevo Leon 112,16080,San Esteban,Xochimilco
Nuevo Leon 112,16080,San Esteban,Xochimilco
Calle 3 Cda. de Nvo. Leon 112 Int-5,16090,Bo. Caltongo,Xochimilco
Nuevo Leon 108,16090,Barrio Caltongo,Xochimilco
Nuevo Leon 108,16080,Bo Caltongo,Xochimilco
NUEVO LEON NUM. 126,16080,Bo Caltongo,Xochimilco
Nuevo Leon 120,16080,San Esteban,Xochimilco
Nuevo Leon 118,16080,San Esteban,Xochimilco
Nuevo Leon 114,16080,San Esteban,Xochimilco
Nuevo Leon 110,16080,San Esteban,Xochimilco
Nuevo Leon 108,16080,San Esteban,Xochimilco
Dalia 70,16080,San Esteban,Xochimilco
Dalia 5,16080,San Esteban,Xochimilco
Dalia 26,16080,San Esteban,Xochimilco
"Cl. DALIA, 10",16080,BARRIO SAN ESTEBAN,Xochimilco
Dalia 5,16080,San Esteban Xochimilco,Xochimilco
Dalia 5,16080,San Esteban Xochimilco,Xochimilco
ORQUIDEA NUM. 63,16080,BARRIO SAN ESTEBAN,Xochimilco
Dalia 20 2do Cjon,16080,San Esteban,Xochimilco
Dalia 20 2do Cjon,16080,San Esteban,Xochimilco
Dalia S. N 2do Cjon,16080,San Esteban,Xochimilco
Dalia S. N 2do Cjon,16080,San Esteban,Xochimilco
Callejï¿½n Los Pinitos no.18,16080,San Esteban,Xochimilco
Dalia S. N 1er Cjon,16080,San Esteban,Xochimilco
Orquidea 8,16080,San Esteban Xochimilco,Xochimilco
Dalia 16 1er Cjon,16080,San Esteban,Xochimilco
Cjon Dalia S. N,16080,San Esteban,Xochimilco
Dalia 14-a,16080,San Esteban,Xochimilco
Dalia 16 Bis,16080,San Esteban,Xochimilco
Dalia 16,16080,San Esteban,Xochimilco
Dalia 14,16080,San Esteban,Xochimilco
Dalia 12 Bis,16080,San Esteban,Xochimilco
Cjon 5 Dalia Num 7,16080,Bo San Esteban,Xochimilco
5to. Cjon. Dalia 21,16080,Bo. San Esteban,Xochimilco
Dalia S. N 1er Cjon,16080,San Esteban,Xochimilco
Dalia 12 Bo,16080,San Esteban,Xochimilco
Dalia 8 Bis,16080,Barrio San Esteban,Xochimilco
Dalia 8 1er Cjon,16080,San Esteban,Xochimilco
Dalia 8 Prov,16080,Bo San Esteban,Xochimilco
Dalia 25,16080,San Esteban,Xochimilco
Cjon Dalia 5 a,16080,Barrio San Esteban,Xochimilco
1er Cjon de Dalia 3,16080,San Esteban,Xochimilco
Cda 5 J Potrero 72,16080,Bo. Caltongo,Xochimilco
Cjon San Juan Potrero 12 C,16080,Barrio San Esteban,Xochimilco
Cjon San Juan Potrero 12 B,16080,Barrio San Esteban,Xochimilco
Nuevo Leon 110,16080,San Esteban,Xochimilco
2do Cjon Dalia 5 Bo,16080,San Esteban,Xochimilco
Av. Nuevo Leon 142,16090,Bo. Caltongo,Xochimilco
Cjon Los Pinitos  lt8  mz 33,16080,Bo San Esteban,Xochimilco
CJON 4 DALIA  LT 18  MZ 32,16080,BO SAN ESTEBAN,Xochimilco
1er Cjon Dalia 3,16080,San Esteban Xochimilco,Xochimilco
PRIMER CJON DALIA S N,16080,San Esteban,Xochimilco
Av Nuevo Leon 140,16080,Barrio San Esteban,Xochimilco
5to. Cjon de Dalia 9,16080,Bo. San Esteban,Xochimilco
Av Nuevo Leon 112 Bis,16080,Barrio San Esteban,Xochimilco
Cjon.pinitos 4,16080,Bo.san Esteban,Xochimilco
2do Cjon de Dalia 10 Prov,16080,San Esteban,Xochimilco
Orquidea 30,16080,Barrio San Esteban,Xochimilco
Cjon.pinitos 7,16080,Bo.san Esteban,Xochimilco
Cjon.pinitos 4-a,16080,Bo.san Esteban,Xochimilco
CJON. PINITOS  NO. 11,16080,BO. SAN ESTEBAN,Xochimilco
"Avd. NUEVO LEON, 140",16080,BARRIO SAN ESTEBAN,Xochimilco
Dalia S. N,16080,San Diego,Xochimilco
Dalia 7 a Bo,16080,San Esteban,Xochimilco
Dalia 7 Bis,16080,San Diego,Xochimilco
Dalia 9,16080,San Diego,Xochimilco
DALIA 11,16080,BO. SAN ESTEBAN,Xochimilco
Dalia 13 Bis,16080,San Diego,Xochimilco
Dalia 13,16080,San Diego,Xochimilco
"Cl. DALIA, 17",16080,BARRIO SAN DIEGO,Xochimilco
Dalia 19 Bo,16080,San Esteban,Xochimilco
Dalia 25 Bo,16080,San Esteban,Xochimilco
Dalia S. N,16080,San Diego,Xochimilco
